name,dob,gender,email,phone,address,pan,aadhaar,loan_type,loan_amount,income,credit_score,debt_to_income_ratio,loan_purpose,application_channel,repayment_status,loan_approval_status,ip_address,device_id,user_agent,city,state,geo_lat,geo_long,form_fill_time_seconds,login_time_hour,failed_otp_count,num_txn_last_30d,shared_phone_count,shared_device_count,shared_ip_count,email_domain_count,aadhaar_verified,pan_verified,phone_verified,doc_match_score,is_fraud
Bhavani Kant,1986-07-27,Male,ekalita@example.com,9656053775,"H.No. 072, Chanda Ganj, Surat-159791",VNSIX73005,338685590553,Auto,1077150,618106,442.0,1.74,Business,Online,Defaulted,Approved,140.100.165.127,3b29e3f7-1195-4cbd-8d96-24eeb6b65133,Opera,Gaya,Uttar Pradesh,20.235733,68.864119,231,7,4,77,1,1,1,1,True,True,True,0.82,0
Tanmayi Kar,1981-02-19,Other,radhika21@example.org,3092149876,"571, Rout Nagar, Bhusawal-461228",HSXIS47214,257707481955,Business,1809593,612297,759.0,2.96,Investment,Branch,On-time,Approved,135.130.145.13,c66e85aa-2621-4088-99b6-f85f118e6160,Safari,Kalyan-Dombivli,West Bengal,17.867265,72.508905,352,3,0,48,1,1,1,2,True,True,True,0.74,0
Warinder Talwar,1991-07-22,Female,traghavan@example.net,5558964776,"40/094, Sahni Chowk, Tadipatri 128999",SGNOQ66289,782402319402,Personal,1976967,1274551,427.0,1.55,Medical,Online,Defaulted,Rejected,152.247.130.73,2e544e68-ce4c-4816-a992-31e1bb3416f6,Opera,Surendranagar Dudhrej,Himachal Pradesh,33.678101,78.487416,204,22,0,5,1,1,1,4,True,True,True,0.91,0
Yug Khare,1980-01-31,Male,bhavani21@example.net,9198995015,"32/706, Narain Marg, Shimla 627966",PMYCB16525,353966385123,Personal,1644364,732952,764.0,2.24,Business,Branch,On-time,Rejected,132.145.152.187,02ef4a91-4e51-4e67-9d35-24f31b45e216,Edge,Motihari,Rajasthan,14.075704,75.742357,81,19,5,21,1,1,1,9,True,True,True,0.89,0
Girindra Viswanathan,2001-11-07,Female,mohinikurian@example.org,8738676439,"68/031, Sastry Zila, Dehradun 701927",LNVOS94762,702322953231,Auto,2386016,610566,632.0,3.91,Renovation,Online,On-time,Rejected,222.48.188.12,d2f992e5-f828-456a-9e73-a86370960076,Safari,Amritsar,Assam,15.764485,74.118502,588,22,2,27,1,1,1,8,True,True,True,0.76,0
Bhavini Batra,1973-12-31,Female,yashawinimerchant@example.org,5711621306,"H.No. 362, Kuruvilla Ganj, Khora -770183",LLTRR94962,104168097777,Home,1160987,442826,552.0,2.62,Business,Agent,Defaulted,Rejected,223.242.8.161,de743690-b518-4e8c-b5fd-85516d4689a9,Opera,Bhilwara,Andhra Pradesh,20.424581,84.922455,378,7,1,65,1,1,1,8,True,True,True,0.64,0
Inaya Shukla,1989-07-16,Male,samaksh66@example.net,4445274480,"05/06, Bhat Road, Mahbubnagar 266415",MDEYT14434,765086391890,Home,721013,1811110,474.0,0.4,Investment,Online,Delayed,Rejected,208.111.254.62,c0a1c41c-a42b-4344-aa01-16ee437b0b47,Opera,Bhusawal,Arunachal Pradesh,36.88752,83.344316,40,0,5,92,1,3,6,6,False,False,True,0.67,1
Chaaya Roy,2003-08-22,Female,meghana21@example.net,8381544760,"H.No. 24, Sundaram Ganj, Thoothukudi 578572",YCXMI44987,448475914148,Business,799320,1214685,408.0,0.66,Business,Branch,Defaulted,Approved,198.111.53.227,9efc464f-48cf-449d-89ec-394ee61ebef3,Firefox,Imphal,Uttar Pradesh,18.843502,72.684922,551,0,4,41,1,1,1,8,True,True,True,0.61,0
Ansh Borah,1971-10-18,Female,yashvi34@example.com,5652147287,"89/108, Sridhar, Kadapa 635786",FLVVC22838,639556790114,Home,292955,655144,380.0,0.45,Renovation,Agent,Delayed,Approved,32.249.146.85,fe32f7cc-dccd-4336-bdbc-b614d7f4cedf,Opera,Tinsukia,Nagaland,30.209198,71.723352,494,17,1,33,1,1,1,9,True,True,True,0.95,0
Advik Tara,2007-03-29,Male,chaudharygavin@example.com,7852157582,"H.No. 46, Bava Marg, Chennai 998351",BWHPD22876,209455807354,Business,893688,1645162,619.0,0.54,Medical,Agent,Defaulted,Rejected,159.62.153.105,98369a06-b9c4-4e44-8d16-94abf150ef0f,Safari,Gudivada,Chhattisgarh,34.088808,81.093098,261,7,0,43,1,1,1,1,True,True,True,0.84,0
